ExterQual,AllFlrsSF,GrLivArea,SimplOverallCond,GarageArea,TotRmsAbvGrd,LotFrontage,SalePrice
3,1368,1368,3,216,7,60,114504
3,1411,1411,2,544,6,85,82500
4,1920,1920,2,451,8,0,172500
4,1548,1548,3,672,5,55,205000
3,1052,1052,3,440,6,80,155000
5,1478,1478,2,484,7,0,222000
4,1494,1494,2,840,7,91,279500
3,1216,1216,2,402,5,32,164000
4,1646,1646,2,482,5,44,275000
4,1500,1500,2,648,6,53,246578
3,970,970,2,624,5,80,132500
4,1601,1601,2,670,6,0,272000
4,1509,1509,2,393,7,0,183200
3,1712,1712,2,588,8,70,145000
3,1125,1125,2,430,5,74,155000
3,864,864,2,576,5,0,111250
3,1824,1824,2,0,8,94,139000
4,848,848,2,420,3,37,155900
4,1200,1200,2,480,4,30,151000
3,1820,1820,2,492,8,0,201800
3,1600,1600,2,460,7,57,169000
2,1044,1044,2,504,4,66,55993
3,882,882,2,0,4,55,103200
3,1430,1430,2,400,7,0,180000
3,1112,1112,1,336,4,36,85000
3,986,986,2,180,5,60,102000
4,1646,1646,2,800,7,71,293077
4,1826,1826,3,164,7,50,155000
3,1357,1357,3,312,5,124,177000
4,1256,1256,2,276,6,75,147500
3,2157,2157,2,487,8,88,226000
4,2110,2110,2,522,8,93,244000
3,1173,1173,2,528,6,85,170000
4,1621,1621,3,440,8,91,202500
3,1158,1158,3,208,5,50,120000
3,1482,1482,2,392,7,0,163900
3,1718,1718,2,427,7,74,185000
3,789,789,2,200,5,55,96500
3,1958,1958,2,492,8,82,145000
4,1694,1694,2,776,7,64,245350
3,2372,2372,2,432,11,60,107500
3,912,912,2,352,4,0,144000
4,1886,1886,2,431,10,0,199900
3,1393,1393,3,300,8,59,135500
4,2062,2062,2,454,7,0,277000
3,894,894,3,552,5,70,149900
3,1320,1320,2,564,6,96,164500
3,923,923,2,264,5,37,119500
4,2504,2504,2,656,11,77,325000
3,948,948,2,248,5,75,111000
3,1137,1137,2,551,5,54,176000
3,864,864,2,338,5,36,133500
3,981,981,2,576,5,0,143250
4,1908,1908,2,431,9,85,202900
4,1434,1434,2,527,6,65,189000
3,958,958,3,301,5,0,151500
3,790,790,2,160,4,52,91000
3,1416,1416,2,776,7,90,179900
3,1097,1097,2,672,6,112,145000
3,1442,1442,2,301,7,75,157900
3,884,884,3,504,5,0,144000
3,1040,1040,3,260,6,0,127000
4,1656,1656,2,397,7,60,165400
4,1364,1364,2,484,6,43,185850
3,1671,1671,2,472,7,58,173000
3,1768,1768,3,320,6,60,163000
3,1203,1203,2,352,5,0,110000
3,904,904,3,408,6,0,109900
3,968,968,2,216,5,60,64500
4,1456,1456,2,400,7,0,215000
3,1644,1644,2,418,7,80,167000
3,838,838,3,275,5,55,130000
3,900,900,3,576,5,60,134800
3,1520,1520,2,281,6,55,159434
5,1940,1940,2,606,8,83,395192
4,1626,1626,2,474,6,36,175500
3,1682,1682,2,530,7,80,174000
4,1363,1363,3,288,6,75,164900
4,1504,1504,2,437,7,43,191000
4,1629,1629,2,808,9,85,270000
3,720,720,3,484,5,60,105900
4,1382,1382,2,490,6,0,165000
3,1425,1425,2,576,7,100,180500
3,1660,1660,3,240,6,74,188700
3,1661,1661,2,377,8,80,165500
3,1584,1584,2,792,8,65,124000
4,1436,1436,2,484,8,65,210000
3,1344,1344,2,0,6,21,97000
3,1324,1324,2,440,6,84,160000
3,894,894,2,600,6,60,123000
4,1294,1294,2,662,6,64,193879
4,1504,1504,2,457,7,43,181000
4,1863,1863,2,660,9,58,219210
3,1365,1365,2,440,7,24,125000
3,2156,2156,3,508,9,0,262500
4,2060,2060,2,521,8,97,211000
3,1349,1349,2,539,6,65,179000
4,1218,1218,2,676,4,75,208300
3,864,864,2,288,4,60,120000
3,1250,1250,2,552,8,53,139000
3,1336,1336,2,375,5,90,157000
4,1314,1314,2,552,6,72,229456
5,1518,1518,2,588,6,62,274000
4,2295,2295,2,590,9,0,268000
4,1700,1700,2,544,7,70,200000
3,1768,1768,2,0,8,72,136500
3,1796,1796,2,546,7,0,211000
3,1218,1218,3,264,7,21,118000
3,1776,1776,2,888,9,85,110000
3,912,912,2,336,5,70,125000
4,1640,1640,2,595,6,72,183000
3,1376,1376,2,240,6,79,105000
3,1470,1470,2,388,6,0,177000
3,520,520,2,240,4,60,68500
3,1056,1056,2,576,4,64,144000
3,1502,1502,2,270,6,60,149000
3,996,996,2,0,6,63,108000
3,1328,1328,2,528,6,0,143000
3,1686,1686,2,612,7,79,207500
3,1576,1576,2,225,8,52,149000
3,1077,1077,2,210,6,60,91000
4,848,848,2,420,3,0,149000
4,1908,1908,2,493,8,70,210000
3,1588,1588,2,680,7,80,134432
4,1234,1234,2,484,7,85,179900
3,1724,1724,2,480,7,0,197900
4,1573,1573,2,440,5,0,177500
3,1796,1796,2,483,8,71,140000
3,1180,1180,2,252,5,80,137500
4,1580,1580,2,830,7,92,235128
3,1130,1130,2,720,5,60,120000
3,1638,1638,2,472,7,59,192000
4,1797,1797,2,639,8,79,213500
4,2524,2524,2,542,9,80,278000
3,1324,1324,2,240,6,50,128000
3,752,752,2,264,4,50,125000
4,1710,1710,2,866,6,107,372402
3,1253,1253,2,402,6,63,176000
4,1617,1617,2,533,5,50,193000
3,1717,1717,2,642,7,60,140000
3,1664,1664,2,528,8,78,162900
4,1484,1484,2,606,7,70,213000
3,1620,1620,2,462,7,80,152000
3,1167,1167,2,495,6,98,144000
3,1052,1052,2,288,5,70,138500
3,1656,1656,2,506,8,87,135000
3,1689,1689,2,480,7,73,127500
3,1026,1026,2,576,5,0,147000
4,2482,2482,2,642,9,88,281213
3,1328,1328,2,308,5,115,170000
3,1067,1067,3,436,4,60,128000
3,1552,1552,2,434,6,85,179900
3,1165,1165,3,490,6,82,174900
3,1114,1114,2,576,6,66,155000
3,1302,1302,3,264,6,21,119500
4,1768,1768,2,603,7,75,226700
3,2259,2259,2,450,7,0,217000
3,1452,1452,2,0,8,33,113000
3,1396,1396,3,384,7,60,153575
3,952,952,3,283,4,0,135750
3,1696,1696,2,349,8,40,143900
3,1526,1526,2,364,7,68,144500
4,1199,1199,2,530,5,55,153900
3,1054,1054,3,460,6,65,151000
3,1184,1184,1,0,8,58,81000
3,1302,1302,2,280,6,21,112000
3,1056,1056,3,260,6,80,139400
3,894,894,2,440,5,100,142500
3,1683,1683,2,440,7,70,172500
4,1484,1484,2,393,8,65,178900
3,1306,1306,3,756,5,64,153000
3,1144,1144,2,456,6,75,139950
4,2267,2267,2,390,8,0,200000
4,2260,2260,2,533,7,80,328000
4,1839,1839,2,486,7,58,221000
4,1352,1352,2,466,5,47,208900
4,2031,2031,2,577,7,75,237000
5,1828,1828,2,774,9,90,314813
3,1072,1072,2,525,5,35,145000
3,1500,1500,2,564,6,68,173900
4,1761,1761,2,578,7,84,227875
3,1682,1682,2,523,7,70,200500
3,2097,2097,2,583,8,75,274300
3,1539,1539,2,576,5,51,141500
3,1136,1136,2,384,5,80,140000
4,1320,1320,2,400,6,0,162000
3,1928,1928,3,0,10,0,160000
3,1750,1750,2,240,8,50,124000
3,1122,1122,3,528,6,100,147000
3,803,803,2,360,5,50,87000
3,1469,1469,3,216,7,60,135000
4,1670,1670,2,690,7,50,240000
4,1694,1694,2,636,7,75,307000
4,1208,1208,2,546,6,0,165000
3,1632,1632,3,484,7,0,173000
3,2320,2320,3,180,9,61,259500
3,1026,1026,3,440,5,61,156000
3,1094,1094,2,495,5,85,155000
3,1437,1437,2,576,6,0,168000
4,1630,1630,2,451,6,75,213000
3,1764,1764,2,470,7,65,231500
3,1221,1221,3,392,7,60,104900
3,1092,1092,2,286,6,21,75000
3,1230,1230,3,305,5,51,121600
3,1430,1430,2,400,8,76,170000
3,1111,1111,2,200,5,60,95000
3,864,864,3,288,5,120,128500
3,1355,1355,3,0,6,62,127500
3,1040,1040,2,648,5,94,132250
3,954,954,2,576,6,55,132500
3,1250,1250,3,280,7,45,116000
3,1392,1392,3,299,6,0,161750
3,672,672,2,234,4,50,113000
4,1950,1950,2,576,7,66,239000
3,1034,1034,2,240,5,60,109000
4,2054,2054,2,390,7,0,244000
3,1641,1641,3,546,6,60,178000
4,1852,1852,2,660,7,73,230000
3,924,924,2,280,5,60,80000
2,841,841,2,294,4,60,82000
3,1400,1400,3,440,6,74,149500
3,1694,1694,2,576,7,60,136500
3,1057,1057,3,246,5,68,109000
3,1734,1734,2,539,8,75,126000
4,2144,2144,3,389,7,0,277000
3,1190,1190,2,540,6,70,132500
3,480,480,1,308,4,50,35311
4,1842,1842,2,894,5,68,385000
4,1456,1456,2,400,8,65,179540
3,1214,1214,2,318,5,0,143000
4,1923,1923,2,564,8,107,190000
4,1250,1250,2,625,5,35,171900
4,1624,1624,2,757,5,89,262000
3,1564,1564,2,476,7,70,171000
4,2452,2452,2,691,9,108,309000
4,1600,1600,2,890,7,110,256300
3,1458,1458,2,330,6,78,97500
4,910,910,3,414,5,74,116000
4,1856,1856,1,834,8,88,394432
3,1183,1183,3,308,6,50,120000
3,1795,1795,2,352,7,81,131500
3,1140,1140,2,0,6,90,84500
3,1040,1040,2,400,6,60,92900
4,1302,1302,2,436,6,73,176485
2,816,816,2,516,5,110,110000
4,2466,2466,2,610,8,102,340000
3,864,864,2,0,5,67,98000
4,1983,1983,2,490,9,0,225000
4,1541,1541,2,843,6,118,205000
3,1668,1668,3,271,6,80,140000
3,948,948,2,280,5,60,119000
3,1020,1020,3,0,6,54,94000
3,1004,1004,2,504,4,78,135000
3,1258,1258,2,400,6,60,108959
4,2110,2110,2,463,8,0,205000
3,1226,1226,2,740,6,94,198900
3,788,788,2,0,4,0,100000
3,1855,1855,2,325,7,75,136900
3,779,935,2,308,4,50,79500
3,918,918,2,264,5,55,99500
3,1529,1529,1,240,9,50,98000
3,1005,1005,2,672,5,60,115000
4,2448,2448,3,711,8,52,402000
3,1367,1367,2,560,6,52,127500
3,1215,1215,3,297,6,66,155000
3,1192,1192,2,189,6,60,78000
4,1296,1296,2,471,6,0,220000
3,796,796,3,0,4,67,85000
4,2161,2161,2,789,8,86,325624
3,1334,1334,2,630,6,80,167900
3,2236,2236,2,642,8,0,222000
3,1097,1097,2,480,6,81,152000
3,1248,1248,2,160,6,52,87000
3,1060,1060,3,270,6,0,154000
3,1086,1086,2,484,6,85,159950
4,1440,1440,3,467,7,0,182900
4,1258,1258,2,648,6,53,172500
3,969,969,2,440,5,120,122000
4,1405,1405,2,478,6,0,171750
3,1786,1786,2,684,7,69,204750
3,864,864,3,572,5,60,115000
3,1328,1328,2,210,8,57,107000
4,1301,1301,2,572,5,60,187750
3,930,930,3,308,6,60,84900
4,1430,1430,2,605,6,67,187100
4,1509,1509,2,393,8,63,180000
4,1646,1646,2,870,6,67,248900
3,1716,1716,2,281,8,60,131000
4,1479,1479,3,475,6,0,130500
3,1610,1610,3,480,6,0,205000
4,1316,1316,2,440,6,103,200141
3,1342,1342,2,457,7,0,161500
3,932,932,2,306,4,57,124000
3,630,630,3,286,3,21,86000
5,2576,2576,2,666,10,82,361919
3,1134,1134,3,254,6,70,135000
3,1494,1494,2,576,6,79,217000
4,1894,1894,2,510,8,80,214900
3,1082,1082,2,240,5,60,119200
3,1440,1440,2,352,6,63,79000
4,1720,1720,2,440,7,62,183500
3,1086,1086,3,490,6,85,144900
3,1392,1392,2,528,5,0,121500
3,1675,1675,2,502,7,0,181000
4,1838,1838,2,372,7,60,192140
